Word,Max,Expected,Median,25th Perc,75th Perc
CLOTS,108,34.804769001490314,24.0,11.0,55.0
PLOTS,115,35.785394932935915,22.0,11.0,50.0
STOLN,107,36.417287630402384,29.0,15.0,45.0
COLTS,131,36.60804769001491,23.0,13.0,40.0
POLTS,131,37.14605067064083,23.0,12.0,50.0
MOLTS,129,37.34128166915052,25.0,13.0,42.0
SLOTH,121,37.40685543964233,26.0,11.0,48.0
BLOTS,111,38.14903129657228,30.0,13.0,53.0
SMOLT,112,38.254843517138596,31.0,13.0,51.0
CLONS,110,38.28315946348733,33.0,12.0,56.0
HOLTS,138,38.69150521609538,23.0,11.0,49.0
LUNTS,123,38.89865871833085,24.0,13.0,64.0
BOLTS,133,39.68554396423249,25.0,14.0,53.0
LOUTS,137,39.73472429210134,23.0,12.0,61.0
CULTS,139,40.1177347242921,24.0,12.0,60.0
TOLUS,137,40.521609538002984,24.0,15.0,64.0
CLOUS,105,40.7585692995529,36.0,12.0,69.0
CLOPS,123,41.28017883755589,27.0,11.25,61.0
NOULS,131,41.48882265275708,27.0,14.0,62.0
LOTUS,137,41.82861400894188,30.0,14.0,64.0
LOUNS,131,41.845007451564825,28.0,14.0,62.0
STONY,124,41.968703427719824,33.0,14.0,59.0
PONTS,140,42.25037257824143,22.0,12.0,55.0
SONLY,148,42.90163934426229,28.0,13.0,61.0
SLOPY,144,43.57228017883756,24.0,10.0,58.0
HOLMS,144,44.41132637853949,29.0,14.0,54.0
MOULS,143,44.51415797317436,25.0,14.0,66.0
TOUNS,146,44.52757078986587,26.0,10.0,63.0
KNOTS,112,44.64381520119225,31.0,13.0,82.0
PHOTS,137,44.85245901639344,25.0,13.0,77.0
CLOGS,120,44.923994038748134,38.0,13.0,75.0
MUONS,116,45.06259314456036,32.0,10.25,75.0
POLKS,131,45.14903129657228,28.0,15.0,63.0
BLOCS,122,45.24590163934426,34.0,13.0,72.0
LOUPS,148,45.296572280178836,26.0,13.0,68.0
SNOUT,114,45.378539493293594,34.0,15.0,77.0
SULPH,138,45.54843517138599,30.0,13.0,72.0
STOUN,114,45.60804769001491,34.0,17.0,77.0
SHULN,126,45.69001490312966,29.0,16.0,68.0
GLUTS,140,45.84202682563338,27.0,14.0,76.0
HOLKS,136,45.88077496274217,33.0,16.0,61.0
CLOYS,135,45.96274217585693,27.0,15.0,68.0
GLOPS,128,46.07451564828614,41.0,12.0,62.0
PYOTS,146,46.20864381520119,25.0,11.0,69.0
PHONS,138,46.336810730253355,33.0,12.0,77.0
THOUS,115,46.34277198211625,28.0,13.0,88.0
PUNTS,155,46.38450074515648,25.0,12.0,59.0
POUTS,158,46.438152011922504,21.0,11.0,80.0
STULM,134,46.499254843517136,37.0,17.0,68.0
LOCUS,146,46.55439642324888,30.0,13.0,69.0
TONUS,146,46.582712369597616,23.0,13.0,77.0
PLOYS,143,46.60953800298063,30.0,12.0,71.0
SHOUT,122,46.73323397913562,35.0,13.0,81.0
TONKS,132,46.7779433681073,32.0,13.0,74.0
SPOUT,124,46.801788375558864,37.0,16.0,74.0
STOUP,124,46.87183308494784,37.0,17.0,74.0
LOCHS,149,46.968703427719824,30.0,13.0,62.0
GLOMS,119,47.00447093889717,43.0,14.0,75.0
LOFTS,145,47.06408345752608,31.0,15.0,61.0
SCOUT,121,47.114754098360656,34.5,17.0,77.0
STOGY,141,47.131147540983605,39.0,15.0,58.0
KOHLS,136,47.16542473919523,33.0,21.0,61.0
SULKY,142,47.31147540983606,40.0,14.0,67.0
CUNTS,160,47.499254843517136,28.0,11.0,72.75
GOLPS,149,47.622950819672134,29.0,14.0,76.75
PULKS,141,47.788375558867365,34.0,13.0,57.0
TOUKS,143,47.99701937406856,29.0,15.0,70.0
LONGS,144,48.23845007451565,34.0,15.0,61.0
CHONS,136,48.26229508196721,36.0,12.0,86.0
STONK,117,48.29806259314456,37.0,14.0,74.0
CULMS,155,48.50670640834575,29.0,14.0,67.0
SMOUT,118,48.602086438152014,38.0,17.0,81.0
BOLUS,151,48.61698956780924,29.0,17.0,67.0
STOMP,133,48.75260804769002,40.0,17.0,67.0
GOUTS,160,48.91952309985097,25.0,12.0,86.0
HULKS,143,49.007451564828614,34.0,13.0,65.0
BOUTS,161,49.20119225037258,24.0,12.0,89.0
HOUTS,162,49.26229508196721,22.0,10.0,88.0
LUMPS,150,49.357675111773474,33.0,12.0,65.0
