Pattern,Candidate_Count,Runtime_Seconds,Runtime_Readable
AXXXX,1458,9587.672020760001,2.66 hours
XXXXX,1342,8117.841347479999,2.25 hours
XXXAX,914,3752.16567708,1.04 hours
AXXXA,571,1454.61618179,24.24 minutes
XXXGX,519,1199.58965003,19.99 minutes
XAXXX,502,1121.5432050799998,18.69 minutes
AXXAX,491,1072.44146019,17.87 minutes
XXXXA,482,1033.0848418799999,17.22 minutes
XGXXX,460,939.97733024,15.67 minutes
XXXAA,442,867.06860348,14.45 minutes
AAXXX,312,427.89115567999994,7.13 minutes
XAXAX,296,384.44835503999997,6.41 minutes
XXAGX,252,276.97119008,4.62 minutes
AXXAA,219,207.90420802999998,3.47 minutes
AXXGX,214,198.30246907999998,3.31 minutes
XAXXA,208,187.08014576,3.12 minutes
XXAXX,184,145.46099887999998,2.42 minutes
XXXGG,181,140.62649698999996,2.34 minutes
GXXXX,179,137.44891443,2.29 minutes
AXAXX,175,131.20275418999998,2.19 minutes
XXAAX,161,110.48574459,1.84 minutes
XXXGA,155,102.15205059,1.70 minutes
XGXGX,133,74.39296451,1.24 minutes
AGXXX,133,74.39296451,1.24 minutes
XAXAA,117,56.96599523,56.97 seconds
AAXXA,116,55.95402144,55.95 seconds
AXAGX,110,50.07293724,50.07 seconds
AXXGG,103,43.62498251,43.62 seconds
XXAXA,96,37.622131040000006,37.62 seconds
GAXXX,90,32.83109564,32.83 seconds
AXAXA,87,30.55820843,30.56 seconds
XGXAX,87,30.55820843,30.56 seconds
XGXXA,85,29.08836899,29.09 seconds
GXXAX,75,22.284196190000003,22.28 seconds
XGAXX,71,19.81687179,19.82 seconds
AXAAX,68,18.061757760000003,18.06 seconds
GXXXA,68,18.061757760000003,18.06 seconds
XGAGX,67,17.49488723,17.49 seconds
XAAXX,66,16.937100440000002,16.94 seconds
XGXGG,64,15.848778079999999,15.85 seconds
AXXXG,62,14.79679068,14.80 seconds
XXAAA,59,13.28693763,13.29 seconds
XAAAX,58,12.80182076,12.80 seconds
XXAGA,55,11.400972589999999,11.40 seconds
AXXGA,50,9.24790044,9.25 seconds
XXGXX,47,8.065062029999998,8.07 seconds
GXXGX,42,6.27533948,6.28 seconds
AXGXX,41,5.94464619,5.94 seconds
AAAXX,40,5.6230366400000005,5.62 seconds
XXGGX,39,5.31051083,5.31 seconds
AAXAX,36,4.42743584,4.43 seconds
GXXAA,36,4.42743584,4.43 seconds
XAXGX,35,4.15124499,4.15 seconds
XXGAX,34,3.8841378800000004,3.88 seconds
XXXXG,31,3.1373189900000003,3.14 seconds
AXAAA,29,2.68485843,2.68 seconds
XGXAA,29,2.68485843,2.68 seconds
XGXGA,29,2.68485843,2.68 seconds
AGXXA,29,2.68485843,2.68 seconds
GXAXX,27,2.26873283,2.27 seconds
GAXXA,27,2.26873283,2.27 seconds
XAAXA,27,2.26873283,2.27 seconds
AXXAG,26,2.07429564,2.07 seconds
AXAGA,24,1.7126724800000004,1.71 seconds
XAXGG,23,1.54548651,1.55 seconds
AGAXX,21,1.23836579,1.24 seconds
XAAGX,20,1.0984310400000001,1.10 seconds
XGGXX,20,1.0984310400000001,1.10 seconds
GXAGX,20,1.0984310400000001,1.10 seconds
GAXAX,20,1.0984310400000001,1.10 seconds
AAAXA,20,1.0984310400000001,1.10 seconds
AXGGX,19,0.96758003,0.97 seconds
GAAXX,18,0.84581276,0.85 seconds
XGAAX,18,0.84581276,0.85 seconds
XGGGX,18,0.84581276,0.85 seconds
AAXAA,18,0.84581276,0.85 seconds
AAXXG,18,0.84581276,0.85 seconds
AXGAX,16,0.62952944,0.63 seconds
GXXGG,16,0.62952944,0.63 seconds
XXGGG,15,0.53501339,0.54 seconds
XGAXA,14,0.44958107999999997,0.45 seconds
AAGXX,14,0.44958107999999997,0.45 seconds
GXXXG,14,0.44958107999999997,0.45 seconds
GXXGA,13,0.37323251,0.37 seconds
XAAAA,13,0.37323251,0.37 seconds
XXAGG,13,0.37323251,0.37 seconds
XGAGA,12,0.3059676800000001,0.31 seconds
XXXAG,12,0.3059676800000001,0.31 seconds
XAGXX,12,0.3059676800000001,0.31 seconds
XAXGA,11,0.24778659000000006,0.25 seconds
XAXXG,11,0.24778659000000006,0.25 seconds
XXGAA,11,0.24778659000000006,0.25 seconds
XAGAX,11,0.24778659000000006,0.25 seconds
AGXGA,0,0.20732144,0.21 seconds
AGXGG,0,0.20732144,0.21 seconds
AGGXA,0,0.20732144,0.21 seconds
AGAGG,0,0.20732144,0.21 seconds
AGXAG,0,0.20732144,0.21 seconds
AAGGX,0,0.20732144,0.21 seconds
AAXGG,0,0.20732144,0.21 seconds
AAAGG,0,0.20732144,0.21 seconds
AGAGX,0,0.20732144,0.21 seconds
AGAAA,0,0.20732144,0.21 seconds
AAGGG,0,0.20732144,0.21 seconds
AAGGA,0,0.20732144,0.21 seconds
AAXAG,0,0.20732144,0.21 seconds
AXGGA,0,0.20732144,0.21 seconds
XGAXG,0,0.20732144,0.21 seconds
XGGAG,0,0.20732144,0.21 seconds
XAGGG,0,0.20732144,0.21 seconds
XGAAG,0,0.20732144,0.21 seconds
XAGAG,0,0.20732144,0.21 seconds
XXGAG,0,0.20732144,0.21 seconds
XAAAG,0,0.20732144,0.21 seconds
XAGGA,0,0.20732144,0.21 seconds
GGGXG,0,0.20732144,0.21 seconds
GGGGA,0,0.20732144,0.21 seconds
GGGAA,0,0.20732144,0.21 seconds
GGGXA,0,0.20732144,0.21 seconds
GAGGA,0,0.20732144,0.21 seconds
GAGGX,0,0.20732144,0.21 seconds
GGXGA,0,0.20732144,0.21 seconds
GGAXX,0,0.20732144,0.21 seconds
GGXAG,0,0.20732144,0.21 seconds
GGAXA,0,0.20732144,0.21 seconds
GGXXG,0,0.20732144,0.21 seconds
GAGGG,0,0.20732144,0.21 seconds
GAGAG,0,0.20732144,0.21 seconds
GAGAA,0,0.20732144,0.21 seconds
GGAAX,0,0.20732144,0.21 seconds
GGAXG,0,0.20732144,0.21 seconds
GGGAG,0,0.20732144,0.21 seconds
GAGXG,0,0.20732144,0.21 seconds
GAAAA,0,0.20732144,0.21 seconds
GAAXG,0,0.20732144,0.21 seconds
GAGAX,0,0.20732144,0.21 seconds
GAAGG,0,0.20732144,0.21 seconds
GAAGA,0,0.20732144,0.21 seconds
GAAAG,0,0.20732144,0.21 seconds
GXAGG,0,0.20732144,0.21 seconds
GAXGG,0,0.20732144,0.21 seconds
GXGAA,0,0.20732144,0.21 seconds
GXGAG,0,0.20732144,0.21 seconds
AAGAG,0,0.20732144,0.21 seconds
AAAGA,0,0.20732144,0.21 seconds
AAAGX,0,0.20732144,0.21 seconds
AAAXG,0,0.20732144,0.21 seconds
AGAGA,0,0.20732144,0.21 seconds
GXAAG,0,0.20732144,0.21 seconds
GXAXG,0,0.20732144,0.21 seconds
AGGGG,0,0.20732144,0.21 seconds
AGGAA,0,0.20732144,0.21 seconds
AGGAG,0,0.20732144,0.21 seconds
AGGGX,0,0.20732144,0.21 seconds
AGGGA,0,0.20732144,0.21 seconds
AGGAX,0,0.20732144,0.21 seconds
AGAAG,0,0.20732144,0.21 seconds
GGGAX,0,0.20732144,0.21 seconds
GGAGG,0,0.20732144,0.21 seconds
GGAAG,0,0.20732144,0.21 seconds
GGAAA,0,0.20732144,0.21 seconds
AGXXG,10,0.19868924000000002,0.20 seconds
GXGAX,1,0.16558139,0.17 seconds
AAXGA,1,0.16558139,0.17 seconds
AAAAA,1,0.16558139,0.17 seconds
AAAAG,1,0.16558139,0.17 seconds
AAGAA,1,0.16558139,0.17 seconds
AAGXG,1,0.16558139,0.17 seconds
GGXAA,1,0.16558139,0.17 seconds
GGGGG,1,0.16558139,0.17 seconds
